a52dec 0.8.0-2
signon-ui 0.17+20231016-2
signond 8.61-3
slang 2.3.3-2
slurp 1.5.0-1
smartmontools 7.4-1
smbclient 4.20.0-2
snappy 1.1.10-1
sndio 1.9.0-1
socat 1.8.0.0-1
solid 6.0.0-1
solid5 5.115.0-1
sonnet 6.0.0-1
sonnet5 5.115.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-11
spdlog 1.13.0-1
spectacle 24.02.2-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.6-1
sqlite 3.45.2-1
sratom 0.6.16-1
srt 1.5.3-1
startup-notification 0.12-8
sudo 1.9.15.p5-1
svt-av1 2.0.0-1
syndication 6.0.0-1
syndication5 5.115.0-1
syntax-highlighting 6.0.0-2
syntax-highlighting5 5.115.0-2
systemd 255.4-2
systemd-libs 255.4-2
systemd-sysvcompat 255.4-2
systemsettings 6.0.3-1
taglib 2.0.1-1
talloc 2.4.2-1
tar 1.35-2
tdb 1.4.10-2
terminus-font 4.49.1-6
tevent 1:0.16.1-2
texinfo 7.1-2
thin-provisioning-tools 1.0.12-1
threadweaver5 5.115.0-1
tmux 3.4-5
tomlplusplus 3.4.0-1
tpm2-tss 4.0.1-1
tracker3 3.7.1-2
tree 2.1.1-1
tree-sitter 0.22.2-1
tree-sitter-bash 0.21.0-2
tree-sitter-c 0.21.0-2
tree-sitter-lua 0.1.0-2
tree-sitter-markdown 0.2.3-2
tree-sitter-python 0.21.0-2
tree-sitter-query 0.2.1-2
tree-sitter-vimdoc 2.5.1-2
tslib 1.23-1
ttf-d2coding 1.3.2-2
ttf-font-awesome 6.5.2-1
ttf-hack 3.003-6
ttf-jetbrains-mono-nerd 3.2.1-1
ttf-joypixels 8.0.0-1
ttf-liberation 2.1.5-1
ttf-sourcecodepro-nerd 3.2.1-1
tzdata 2024a-1
udisks2 2.10.1-4
ufw 0.36.2-3
uim 1.8.9-2
uim-debug 1.8.9-2
unibilium 2.1.1-2
unrar 1:7.0.7-1
unzip 6.0-20
upower 1.90.4-1
usbmuxd 1.1.1-3
util-linux 2.40-2
util-linux-libs 2.40-2
v4l-utils 1.26.1-1
vapoursynth R66-1
veracrypt 1.26.7-1
vid.stab 1.1.1-1
vim 9.1.0252-1
vim-runtime 9.1.0252-1
vlc 3.0.20-8
vmaf 3.0.0-1
volume_key 0.3.12-8
vulkan-headers 1:1.3.279-1
vulkan-icd-loader 1.3.279-1
vulkan-tools 1.3.269-1
vulkan-validation-layers 1.3.275-1
waybar 0.10.0-4
wayland 1.22.0-1
wayland-protocols 1.34-1
wayland-utils 1.2.0-1
webrtc-audio-processing-1 1.3-2
wf-recorder 0.4.1-1
wget 1.24.5-1
which 2.21-6
wireplumber 0.5.1-1
wl-clipboard 1:2.2.1-1
wlroots 0.17.2-1
wofi 1.4.1-1
wpa_supplicant 2:2.10-8
wxwidgets-common 3.2.4-4
wxwidgets-gtk3 3.2.4-4
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-imdkit 1.0.7-1
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-4
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.3-1
xdg-desktop-portal-hyprland 1.3.1-6
xdg-desktop-portal-kde 6.0.3-1
xdg-user-dirs 0.18-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-1
xf86-video-nouveau 1.0.17-3
xkeyboard-config 2.41-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.3-1
xorg-xdpyinfo 1.3.4-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.7-1
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xwayland 23.2.6-1
xorgproto 2024.1-2
xsel 1.2.1-1
xsettingsd 1.0.2-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.6.1-3
yarn 1.22.22-1
yay 12.3.5-1
yay-debug 12.3.5-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-1
zsh 5.9-5
zsh-completions 0.35.0-1
zsh-theme-powerlevel10k 1.20.0-2
zsh-theme-powerlevel10k-debug 1.20.0-2
zstd 1.5.5-1
zxing-cpp 2.2.1-1
